,name,rating,reviews,ctype,hq,old,employees
0,TCS,3.9,(44.6k Reviews),Public,"Mumbai,Maharashtra + 258 more",54 years old,1 Lakh+ Employees (India)
1,Accenture,4.2,(30.2k Reviews),Public,Dublin + 140 more,33 years old,1 Lakh+ Employees (India)
2,Cognizant,4.0,(27.2k Reviews),Private,Teaneck. New Jersey. + 90 more,28 years old,1 Lakh+ Employees (India)
3,ICICI Bank,4.0,(32.8k Reviews),Public,"Mumbai,Maharashtra + 1025 more",28 years old,1 Lakh+ Employees (India)
4,HDFC Bank,4.0,(36.8k Reviews),Public,"Mumbai,Maharashtra + 1173 more",28 years old,1 Lakh+ Employees (India)
5,Infosys,3.9,(26k Reviews),Public,"Bengaluru/Bangalore,Karnataka + 121 more",41 years old,1 Lakh+ Employees (India)
6,Wipro,3.9,(26.1k Reviews),Public,"Bangalore/Bengaluru,Karnataka + 223 more",77 years old,1 Lakh+ Employees (India)
7,Capgemini,3.9,(22.1k Reviews),Public,Paris + 75 more,55 years old,1 Lakh+ Employees (India)
8,Tech Mahindra,3.8,(20.1k Reviews),Public,"Pune,Maharashtra + 203 more",36 years old,50k-1 Lakh Employees (India)
9,Genpact,4.0,(19.6k Reviews),Public,"New York,New York + 62 more",25 years old,50k-1 Lakh Employees (India)
10,HCL Technologies,3.9,(16.8k Reviews),Public,"Noida,Uttar Pradesh + 135 more",31 years old,1 Lakh+ Employees (India)
11,Axis Bank,3.9,(17.8k Reviews),Public,"Mumbai,Maharashtra + 1032 more",29 years old,1 Lakh+ Employees (India)
12,Amazon,4.2,(16k Reviews),Public,"Seattle,Washington + 341 more",28 years old,1 Lakh+ Employees (India)
13,IBM,4.2,(20.3k Reviews),Public,"Armonk,New York + 116 more",111 years old,1 Lakh+ Employees (India)
14,Concentrix Corpo...,4.1,(14.5k Reviews),Public,"Fremont,California + 66 more",39 years old,10k-50k Employees (India)
15,Larsen & Toubro ...,4.1,(23.4k Reviews),Public,"Mumbai,Maharashtra + 517 more",84 years old,10k-50k Employees (India)
16,Reliance jio,4.0,(13.9k Reviews),Public,"Navi Mumbai,Maharashtra + 936 more",15 years old,50k-1 Lakh Employees (India)
17,Vodafone Idea,4.3,(13.5k Reviews),Public,"Gandhinagar,Gujrat + 558 more",4 years old,10k-50k Employees (India)
18,HDB Financial Se...,4.0,(12.5k Reviews),Private,"Ahmedabad,Gujrat + 741 more",15 years old,1 Lakh+ Employees (India)
19,Teleperformance,3.6,(13.5k Reviews),Private,Paris + 117 more,44 years old,50k-1 Lakh Employees (India)
20,Kotak Mahindra B...,3.9,(12.9k Reviews),Public,"Mumbai,Maharashtra + 464 more",19 years old,50k-1 Lakh Employees (India)
21,Bharti Airtel,4.1,(12.2k Reviews),Public,"Gurgaon/Gurugram,Haryana + 481 more",27 years old,10k-50k Employees (India)
22,Reliance Industr...,4.1,(39.8k Reviews),Public,"Navi Mumbai,Maharashtra + 449 more",49 years old,1 Lakh+ Employees (India)
23,Deloitte,4.1,(9.6k Reviews),Private,"New York,New York + 132 more",177 years old,50k-1 Lakh Employees (India)
24,Tata Motors,4.0,(11.7k Reviews),Public,"Pune,Maharashtra + 382 more",77 years old,10k-50k Employees (India)
25,Reliance Retail,4.1,(13.7k Reviews),Private,"Navi Mumbai,Maharashtra + 570 more",16 years old,1 Lakh+ Employees (India)
26,WNS,3.7,(6.5k Reviews),Private,"Mumbai,Maharashtra + 21 more",26 years old,10k-50k Employees (India)
27,IndusInd Bank,3.8,(6.5k Reviews),Public,"Gurgaon/Gurugram,Haryana + 544 more",28 years old,10k-50k Employees (India)
28,Mahindra & Mahin...,3.9,(36.9k Reviews),Public,"Mumbai,Maharashtra + 397 more",77 years old,1 Lakh+ Employees (India)
29,Flipkart,4.2,(10.3k Reviews),Public,"Bangalore,Karnataka + 409 more",15 years old,50k-1 Lakh Employees (India)
30,DXC Technology,3.9,(6.8k Reviews),Public,"Minato,Tokyo + 55 more",5 years old,10k-50k Employees (India)
31,Hinduja Global S...,4.0,(5.9k Reviews),Public,"Bangalore/Bengaluru,Karnataka + 74 more",22 years old,10k-50k Employees (India)
32,Ernst & Young,3.9,(7k Reviews),Private,London + 70 more,20 years old,50k-1 Lakh Employees (India)
33,Maruti Suzuki,4.1,(5.6k Reviews),Public,"New Delhi,Delhi + 373 more",39 years old,10k-50k Employees (India)
34,Infosys BPM,4.0,(5.5k Reviews),"Bangalore/Bengaluru,Karnataka + 45 more",20 years old,10k-50k Employees (India),
35,BYJU'S,3.6,(9.8k Reviews),Private,"Bangalore,Karnataka + 161 more",11 years old,1k-5k Employees (India)
36,HSBC,4.1,(5.7k Reviews),Private,"Pune,Maharashtra + 53 more",20 years old,10k-50k Employees (India)
37,Ericsson,4.3,(5.2k Reviews),Private,"Stockholm,Stockholm County + 129 more",146 years old,10k-50k Employees (India)
38,Bajaj Finserv,4.1,(4.9k Reviews),Public,"Pune,Maharashtra + 637 more",15 years old,10k-50k Employees (India)
39,Conneqt Business...,3.8,(4.8k Reviews),Private,"Mumbai,Maharashtra + 151 more",20 years old,10k-50k Employees (India)
40,IDFC FIRST Bank,4.0,(4.8k Reviews),Public,"Mumbai,Maharashtra + 362 more",4 years old,10k-50k Employees (India)
41,Dr. Reddy's,4.2,(4.8k Reviews),Public,"Hyderabad/Secunderabad,Telangana + 128 more",36 years old,10k-50k Employees (India)
42,Startek,3.5,(4.6k Reviews),Public,"Mumbai,Maharashtra + 50 more",5 years old,5k-10k Employees (India)
43,Mphasis,3.8,(4.6k Reviews),Public,"Bangalore/Bengaluru,Karnataka + 41 more",24 years old,10k-50k Employees (India)
44,Sutherland Globa...,3.9,(4.9k Reviews),Private,"Pittsford,New York + 41 more",36 years old,10k-50k Employees (India)
45,Jana Small Finan...,3.9,(4.5k Reviews),Public,"Bangalore/Bengaluru,Karnataka + 303 more",16 years old,10k-50k Employees (India)
46,Cipla Pharmaceut...,4.1,(4.6k Reviews),Public,"Mumbai,Maharashtra + 185 more",87 years old,10k-50k Employees (India)
47,Yes Bank,4.0,(4.4k Reviews),Public,"Mumbai,Maharashtra + 353 more",18 years old,10k-50k Employees (India)
48,ICICI Prudential...,4.1,(4.3k Reviews),Public,"Mumbai,Maharashtra + 397 more",22 years old,10k-50k Employees (India)
49,HCL Group,3.9,(22.6k Reviews),Chennai + 69 more,50k-1 Lakh Employees (India),,
50,Asian Paints,4.3,(4.5k Reviews),Public,"Mumbai,Maharashtra + 331 more",80 years old,10k-50k Employees (India)
51,NTT DATA,4.0,(4.4k Reviews),Private,"Chiyoda City,Tokyo + 38 more",34 years old,10k-50k Employees (India)
52,Zydus Cadila,4.2,(4.9k Reviews),Public,"Ahmedabad, India + 134 more",70 years old,10k-50k Employees (India)
53,Udaan,4.2,(4k Reviews),Private,"Bangalore,Karnataka + 295 more",6 years old,1k-5k Employees (India)
54,Indian Army,4.7,(4k Reviews),Public,"New Delhi,Delhi + 264 more",127 years old,1 Lakh+ Employees (India)
55,HDFC Life,4.0,(5.3k Reviews),Public,"Mumbai,Maharashtra + 396 more",22 years old,10k-50k Employees (India)
56,EXL Service,3.9,(4.9k Reviews),Private,"New York City,New York + 30 more",23 years old,10k-50k Employees (India)
57,Home Credit Fina...,4.2,(3.9k Reviews),Private,Gurugram + 101 more,10 years old,5k-10k Employees (India)
58,L&T Infotech,3.9,(3.8k Reviews),Public,"Mumbai,Maharashtra + 78 more",26 years old,10k-50k Employees (India)
59,PwC,3.8,(3.7k Reviews),Partnership,London + 59 more,24 years old,10k-50k Employees (India)
60,Lupin,4.1,(3.8k Reviews),Public,"Mumbai,Maharashtra + 120 more",54 years old,10k-50k Employees (India)
61,Bajaj Finance,4.2,(4.1k Reviews),Private,"Pune,Maharashtra + 591 more",35 years old,10k-50k Employees (India)
62,UltraTech Cement,4.3,(4.3k Reviews),Public,"Mumbai,Maharashtra + 324 more",39 years old,10k-50k Employees (India)
63,Hindustan Unilev...,4.3,(4.2k Reviews),Public,"Mumbai,Maharashtra + 343 more",89 years old,10k-50k Employees (India)
64,Bajaj Allianz Li...,4.2,(3.6k Reviews),Private,Pune + 419 more,21 years old,10k-50k Employees (India)
65,ITC,3.9,(6.9k Reviews),Public,"Kolkata,West Bengal + 220 more",47 years old,10k-50k Employees (India)
66,Ujjivan Small Fi...,4.1,(3.6k Reviews),Public,"Bangalore/Bengaluru,Karnataka + 377 more",5 years old,10k-50k Employees (India)
67,OPPO,4.0,(3.7k Reviews),Public,"Dongguan,Guangdong + 307 more",18 years old,10k-50k Employees (India)
68,One97 Communicat...,3.7,(3.4k Reviews),Noida + 227 more,1k-5k Employees (Global),,
69,Mindtree,4.1,(3.4k Reviews),Public,"Bangalore/Bengaluru,Karnataka + 25 more",23 years old,10k-50k Employees (India)
70,Shapoorji Pallon...,4.3,(6.4k Reviews),Private,"Mumbai,Maharashtra + 133 more",157 years old,5k-10k Employees (India)
71,KPMG,3.8,(3.5k Reviews),Partnership,New York + 49 more,35 years old,10k-50k Employees (India)
72,IIFL,3.9,(3.4k Reviews),Public,"Mumbai,Maharashtra + 450 more",27 years old,10k-50k Employees (India)
73,JP Morgan Chase,4.2,(3.4k Reviews),Private,"New York,New York + 20 more",22 years old,10k-50k Employees (India)
74,Ashok Leyland,4.1,(3.4k Reviews),Public,"Chennai,Tamil Nadu + 184 more",74 years old,10k-50k Employees (India)
75,Shriram Transpor...,4.2,(3.7k Reviews),Public,"Mumbai,Maharashtra + 645 more",43 years old,10k-50k Employees (India)
76,Mahindra & Mahin...,4.3,(4.8k Reviews),Public,"Mumbai,Maharashtra + 549 more",31 years old,10k-50k Employees (India)
77,Sun Pharmaceutic...,4.1,(3.8k Reviews),Public,Mumbai + 141 more,39 years old,10k-50k Employees (India)
78,Intelenet Global...,3.7,(3.3k Reviews),Private,"Mumbai,Maharashtra + 57 more",22 years old,10k-50k Employees (India)
79,Aurobindo Pharma,4.1,(3.5k Reviews),Public,"Hyderabad/Secunderabad,Telangana + 51 more",36 years old,10k-50k Employees (India)
80,Vivo,4.1,(3.3k Reviews),Private,"Gurgaon/Gurugram,Haryana + 322 more",13 years old,5k-10k Employees (India)
81,Hewlett-Packard ...,4.3,(3.5k Reviews),Private,"Houston,Texas + 87 more",7 years old,10k-50k Employees (India)
82,Apollo Hospitals,4.1,(5.1k Reviews),Public,"San Francisco,California + 161 more",39 years old,50k-1 Lakh Employees (India)
83,Reliance Communi...,4.0,(4k Reviews),Public,"Navi Mumbai,Maharashtra + 363 more",20 years old,10k-50k Employees (India)
84,Wells Fargo Indi...,4.2,(3.2k Reviews),Public,"San Francisco,California + 10 more",170 years old,10k-50k Employees (India)
85,Fidelity Nationa...,4.1,(3.3k Reviews),Private,"Jacksonville,Florida + 32 more",54 years old,10k-50k Employees (India)
86,Future Group,4.2,(10k Reviews),Private,"Mumbai,Maharashtra + 196 more",9 years old,50k-1 Lakh Employees (India)
87,Siemens,4.2,(4.6k Reviews),Public,"Munich,Bavaria + 104 more",175 years old,10k-50k Employees (India)
88,Nokia,4.2,(4.4k Reviews),Private,"Espoo,Southern Finland + 166 more",157 years old,10k-50k Employees (India)
89,Bandhan Bank,3.9,(3.2k Reviews),Public,"Kolkata,West Bengal + 510 more",21 years old,50k-1 Lakh Employees (India)
90,eClerx,3.7,(3k Reviews),Public,"Mumbai,Maharashtra + 16 more",22 years old,5k-10k Employees (India)
91,Delhivery,4.2,(3.4k Reviews),Private,"Delhi,NCT + 442 more",11 years old,10k-50k Employees (India)
92,Max Life Insuran...,4.2,(3k Reviews),JV,"Gurgaon/Gurugram,Haryana + 274 more",22 years old,10k-50k Employees (India)
93,Wipro BPS,3.8,(2.9k Reviews),Bengaluru + 38 more,22 years old,1 Lakh+ Employees (India),
94,AU Small Finance...,4.1,(3.9k Reviews),Private,"Jaipur,Rajasthan + 282 more",26 years old,10k-50k Employees (India)
95,TVS Motor,4.1,(3.1k Reviews),Public,"Chennai,Tamil Nadu + 235 more",43 years old,10k-50k Employees (India)
96,First Source,3.9,(2.9k Reviews),Public,"Mumbai,Maharashtra + 44 more",21 years old,10k-50k Employees (India)
97,Tata Projects,4.2,(3k Reviews),Public,"Mumbai,Maharashtra + 191 more",43 years old,10k-50k Employees (India)
98,Oyo Rooms,3.5,(3.1k Reviews),Private,"Gurgaon,Haryana + 102 more",9 years old,1k-5k Employees (India)
99,Oracle,3.9,(3.7k Reviews),Public,"Austin,Texas + 31 more",45 years old,50k-1 Lakh Employees (India)
100,JLL,4.3,(2.9k Reviews),Private,"Mumbai,Maharashtra + 59 more",25 years old,10k-50k Employees (India)
101,Hero MotoCorp,4.3,(3k Reviews),Public,"Gurgaon/Gurugram,Haryana + 261 more",38 years old,5k-10k Employees (India)
102,Cyient,3.7,(2.8k Reviews),Public,"Hyderabad/Secunderabad,Telangana + 25 more",31 years old,10k-50k Employees (India)
103,Hexaware Technol...,3.8,(2.9k Reviews),Public,"Mumbai,Maharashtra + 30 more",32 years old,10k-50k Employees (India)
104,JSW Steel,3.9,(3.1k Reviews),Public,"Mumbai,Maharashtra + 89 more",40 years old,10k-50k Employees (India)
105,TATA Steel,4.1,(4.4k Reviews),Public,"Mumbai,Maharashtra + 119 more",115 years old,10k-50k Employees (India)
106,Hyundai Motor,4.1,(3.8k Reviews),Private,Seoul + 218 more,55 years old,10k-50k Employees (India)
107,Bosch,4.2,(6k Reviews),Public,"Gerlingen,Baden-Wuerttemberg + 83 more",136 years old,10k-50k Employees (India)
108,JustDial,3.6,(2.7k Reviews),Public,"Mumbai,Maharashtra + 122 more",26 years old,10k-50k Employees (India)
109,Atos Syntel,3.8,(4.3k Reviews),Private,"Troy,Michigan + 14 more",42 years old,10k-50k Employees (India)
110,Samsung,4.0,(7.2k Reviews),Public,Seoul + 346 more,84 years old,10k-50k Employees (India)
111,iEnergizer,3.5,(2.6k Reviews),Private,"Noida,Uttar Pradesh + 14 more",22 years old,5k-10k Employees (India)
112,Quess,3.9,(7.8k Reviews),Public,Bangalore + 310 more,15 years old,10k-50k Employees (India)
113,Megha Engineerin...,4.2,(2.6k Reviews),Private,"Hyderabad/Secunderabad,Telangana + 190 more",33 years old,1k-5k Employees (India)
114,Viatris,4.3,(2.5k Reviews),"Canonsburg,Pennsylvania + 61 more",61 years old,10k-50k Employees (India),
115,L&T Construction,4.2,(3.4k Reviews),Public,Chennai + 254 more,78 years old,10k-50k Employees (India)
116,BNY Mellon,4.2,(2.5k Reviews),Private,"New York City,New York + 9 more",18 years old,10k-50k Employees (India)
117,Omega Healthcare,3.7,(2.5k Reviews),Private,Florida + 27 more,18 years old,5k-10k Employees (India)
118,SBI Cards & Paym...,3.8,(2.4k Reviews),Government,"Gurgaon/Gurugram,Haryana + 232 more",24 years old,10k-50k Employees (India)
119,Fullerton India,4.2,(2.4k Reviews),Private,Mumbai + 390 more,15 years old,10k-50k Employees (India)
120,UnitedHealth,4.2,(4.3k Reviews),Private,"Minnetonka,Minnesota + 11 more",45 years old,10k-50k Employees (India)
121,Aditya Birla Fas...,4.3,(4k Reviews),Private,Mumbai + 194 more,7 years old,10k-50k Employees (India)
122,Cummins,4.3,(3k Reviews),"Columbus,Indiana + 81 more",60 years old,10k-50k Employees (India),
123,Manappuram Finan...,4.0,(3.1k Reviews),Public,"Thrissur/Trichur,Kerala + 362 more",73 years old,10k-50k Employees (India)
124,D Mart,4.0,(2.4k Reviews),Private,"Mumbai,Maharashtra + 154 more",22 years old,10k-50k Employees (India)
125,Godrej & Boyce M...,3.9,(2.7k Reviews),Private,"Mumbai,Maharashtra + 115 more",125 years old,10k-50k Employees (India)
126,IQVIA,4.2,(2.5k Reviews),Partnership,Durham + 38 more,40 years old,10k-50k Employees (India)
127,Axis Direct,4.0,(2.4k Reviews),Private,"San Mateo,California + 265 more",11 years old,1k-5k Employees (India)
128,Dominos Pizza,4.1,(2.3k Reviews),Public,"Ypsilanti,Michigan + 201 more",62 years old,1k-5k Employees (India)
129,CBRE,4.3,(2.3k Reviews),Private,"Los Angeles,California + 52 more",116 years old,10k-50k Employees (India)
130,Equitas Small Fi...,4.2,(2.3k Reviews),Private,"Chennai,Tamil Nadu + 285 more",15 years old,10k-50k Employees (India)
131,Royal Enfield,4.2,(2.3k Reviews),Private,"Gurgaon/Gurugram,Haryana + 228 more",67 years old,1k-5k Employees (India)
132,Wipro Consumer ...,3.9,(28.6k Reviews),Private,"Bangalore/Bengaluru,Karnataka + 71 more",77 years old,1k-5k Employees (India)
133,Nagarjuna Constr...,4.1,(2.4k Reviews),Public,"Hyderabad/Secunderabad,Telangana + 173 more",24 years old,1k-5k Employees (India)
134,Wipro Infotech,4.0,(2.3k Reviews),Private,Bangalore + 116 more,77 years old,1 Lakh+ Employees (Global)
135,JBM Group,4.1,(2.8k Reviews),Public,"Gurgaon/Gurugram,Haryana + 73 more",39 years old,10k-50k Employees (India)
136,Nagarro,4.6,(2.4k Reviews),Private,"Munich,Bavaria + 30 more",26 years old,10k-50k Employees (India)
137,State Bank of In...,3.9,(4.6k Reviews),"Mumbai,Maharashtra + 333 more",216 years old,1 Lakh+ Employees (India),
138,Schneider Electr...,4.2,(3.8k Reviews),Private,Paris + 78 more,23 years old,10k-50k Employees (India)
139,ICICI Lombard Ge...,3.9,(2.2k Reviews),Public,"Mumbai,Maharashtra + 193 more",21 years old,10k-50k Employees (India)
140,Tata Communicati...,4.2,(3k Reviews),Public,"Mumbai,Maharashtra + 87 more",36 years old,10k-50k Employees (India)
141,Bajaj Auto,4.0,(2.2k Reviews),Public,"Pune,Maharashtra + 197 more",77 years old,5k-10k Employees (India)
142,Amdocs,4.1,(2.2k Reviews),Private,"Chesterfield,Missouri + 12 more",40 years old,10k-50k Employees (India)
143,UST,4.1,(2.4k Reviews),Private,"Aliso Viejo,California + 32 more",21 years old,10k-50k Employees (India)
144,Muthoot Fincorp,4.0,(2.2k Reviews),Private,"Trivandrum/Thiruvananthapuram,Kerala + 412 more",135 years old,10k-50k Employees (India)
145,Bosch Global Sof...,4.2,(2.2k Reviews),Private,Gerlingen + 19 more,23 years old,10k-50k Employees (India)
146,Flex,4.1,(2.2k Reviews),Private,San Jose + 35 more,53 years old,10k-50k Employees (India)
147,LG Electronics,4.1,(2.2k Reviews),Public,"Seoul,Seoul + 183 more",64 years old,10k-50k Employees (India)
148,Dell,4.2,(3.5k Reviews),Private,"Round Rock,Texas + 82 more",38 years old,10k-50k Employees (India)
149,Ford Motor,4.5,(2.5k Reviews),Public,"Dearborn,Michigan + 101 more",119 years old,10k-50k Employees (India)
150,John Deere,4.4,(2.4k Reviews),Private,"Moline,Illinois + 95 more",21 years old,5k-10k Employees (India)
151,Whitehat jr,3.8,(2.1k Reviews),Private,"Mumbai,Maharashtra + 44 more",4 years old,5k-10k Employees (India)
152,L&T Financial Se...,4.0,(2.1k Reviews),Public,"Mumbai,Maharashtra + 373 more",28 years old,10k-50k Employees (India)
153,Hetero Drugs,4.0,(2.5k Reviews),Private,"Hyderabad/Secunderabad,Telangana + 31 more",29 years old,1k-5k Employees (India)
154,Ecom Express,4.3,(2.1k Reviews),Private,"Gurgaon,Haryana + 455 more",10 years old,10k-50k Employees (India)
155,Indiamart Interm...,3.8,(2.2k Reviews),Private,"Noida,Uttar Pradesh + 98 more",26 years old,10k-50k Employees (India)
156,Sodexo,4.1,(2.3k Reviews),Private,Issy Les Moulineaux + 105 more,14 years old,5k-10k Employees (India)
157,SBI Life Insuran...,3.8,(2.1k Reviews),Government,"Mumbai,Maharashtra + 406 more",21 years old,10k-50k Employees (India)
158,KEC Internationa...,4.2,(2.1k Reviews),Public,"Mumbai,Maharashtra + 201 more",77 years old,5k-10k Employees (India)
159,Abbott Healthcar...,4.1,(4.1k Reviews),Public,"Illinois City,Illinois + 139 more",31 years old,10k-50k Employees (India)
160,Cholamandalam In...,4.3,(2.1k Reviews),Private,"Chennai,Tamil Nadu + 467 more",44 years old,5k-10k Employees (India)
161,Motherson Sumi S...,3.9,(3.4k Reviews),Public,"Noida,Uttar Pradesh + 61 more",36 years old,5k-10k Employees (India)
162,Capgemini Techno...,4.1,(2.1k Reviews),Bengaluru/Bangalore + 24 more,,,
163,GlobalLogic,4.0,(2k Reviews),Private,"San Jose,California + 25 more",22 years old,1k-5k Employees (India)
164,Hindustan Coca C...,4.4,(2k Reviews),Private,Bangalore + 164 more,25 years old,5k-10k Employees (India)
165,Simplex Infrastr...,3.7,(2.2k Reviews),Public,"Kolkata,West Bengal + 121 more",98 years old,1k-5k Employees (India)
166,Thermax,4.3,(2.3k Reviews),Public,"Pune,Maharashtra + 118 more",42 years old,1k-5k Employees (India)
167,Intas Pharmaceut...,4.3,(2k Reviews),Private,"Ahmedabad,Gujrat + 97 more",22 years old,10k-50k Employees (India)
168,Subros,4.0,(2k Reviews),Public,"Noida,Uttar Pradesh + 32 more",37 years old,1k-5k Employees (India)
169,Muthoot Group,3.7,(4.4k Reviews),Public,"Wedel,Schleswig-holstein + 321 more",135 years old,1k-5k Employees (India)
170,Wipro Enterprise...,3.9,(30.6k Reviews),Bangalore + 65 more,77 years old,1 Lakh+ Employees (India),
171,Gati kwe,4.1,(2k Reviews),Private,"Hyderabad/Secunderabad,Telangana + 143 more",10 years old,5k-10k Employees (India)
172,Muthoot Finance,3.6,(2k Reviews),Public,"Kochi/Cochin,Kerala + 383 more",83 years old,10k-50k Employees (India)
173,Arvind Group,4.1,(2.4k Reviews),Public,"Ahmedabad,Gujrat + 128 more",91 years old,10k-50k Employees (India)
174,Automatic Data P...,4.3,(2k Reviews),New Jersey + 9 more,73 years old,1k-5k Employees (India),
175,VE Commercial Ve...,4.0,(2k Reviews),Private,"Gurgaon/Gurugram,Haryana + 102 more",14 years old,1k-5k Employees (India)
176,NatWest Group,4.1,(2.1k Reviews),Government,Chennai + 18 more,10k-50k Employees (India),
177,Varun Beverages,4.0,(2k Reviews),Public,"Gurgaon/Gurugram,Haryana + 184 more",27 years old,10k-50k Employees (India)
178,Atos,3.9,(7.4k Reviews),Private,"Vilnius,Vilniaus Apskritis + 31 more",25 years old,10k-50k Employees (India)
179,BigBasket,4.2,(2k Reviews),Private,"Bangalore,Karnataka + 72 more",11 years old,5k-10k Employees (India)
180,BigBasket,4.2,(2k Reviews),Private,"Bangalore,Karnataka + 72 more",11 years old,5k-10k Employees (India)
181,Macleods Pharmac...,4.0,(1.9k Reviews),Public,"Mumbai,Maharashtra + 73 more",36 years old,5k-10k Employees (India)
182,Alembic Pharmace...,4.1,(1.9k Reviews),Public,"Vadodara/Baroda,Gujrat + 116 more",115 years old,10k-50k Employees (India)
183,Indian Air Force,4.6,(1.9k Reviews),Private,"New Delhi,Delhi + 97 more",90 years old,1 Lakh+ Employees (India)
184,Virtusa Consulti...,3.8,(2k Reviews),Private,"Southborough,Massachusetts + 22 more",26 years old,5k-10k Employees (India)
185,Optum,4.1,(1.9k Reviews),Private,Minnesota + 19 more,45 years old,10k-50k Employees (India)
186,Suzlon Group,4.2,(1.9k Reviews),Public,"Pune,Maharashtra + 84 more",27 years old,5k-10k Employees (India)
187,American Express,4.4,(1.9k Reviews),Private,"New York City,New York + 34 more",172 years old,10k-50k Employees (India)
188,CMS IT Services,3.2,(1.9k Reviews),Private,"Bangalore,Karnataka + 115 more",8 years old,5k-10k Employees (India)
189,Glenmark Pharmac...,4.1,(1.9k Reviews),Public,"Mumbai,Maharashtra + 106 more",45 years old,10k-50k Employees (India)
190,ABB Group,4.1,(1.9k Reviews),Public,Zurich + 85 more,21 years old,10k-50k Employees (India)
191,Bel,4.2,(1.9k Reviews),Private,"Bangalore/Bengaluru,Karnataka + 29 more",68 years old,5k-10k Employees (India)
192,McDonald's,4.3,(1.9k Reviews),Private,"Chicago,Illinois + 117 more",67 years old,5k-10k Employees (India)
193,DTDC Express,4.0,(1.9k Reviews),Private,"Bangalore/Bengaluru,Karnataka + 185 more",32 years old,5k-10k Employees (India)
194,Swiggy,4.2,(2.1k Reviews),Private,"Bangalore,Karnataka + 130 more",8 years old,10k-50k Employees (India)
195,Randstad,4.1,(1.9k Reviews),Private,"Chennai,Tamil Nadu + 201 more",30 years old,1k-5k Employees (India)
196,Alkem Laboratori...,4.1,(1.9k Reviews),Public,"Mumbai,Maharashtra + 115 more",49 years old,10k-50k Employees (India)
197,Deutsche Bank,4.3,(2.1k Reviews),Private,Frankfurt + 29 more,152 years old,10k-50k Employees (India)
198,Cgi Group,4.2,(2k Reviews),Private,"Montreal,Quebec + 13 more",31 years old,10k-50k Employees (India)
199,Lava Internation...,4.2,(1.9k Reviews),Public,"Noida,Uttar Pradesh + 202 more",13 years old,1k-5k Employees (India)
200,Honda Motorcycle...,4.2,(1.8k Reviews),Private,"Gurgaon/Gurugram,Haryana + 163 more",23 years old,1k-5k Employees (India)
201,Standard Charter...,4.2,(5.4k Reviews),Private,London + 57 more,53 years old,10k-50k Employees (India)
202,Reliance Nippon ...,3.9,(1.8k Reviews),Private,"Mumbai,Maharashtra + 377 more",22 years old,10k-50k Employees (India)
203,Pidilite Industr...,4.4,(1.9k Reviews),Public,"Mumbai,Maharashtra + 169 more",63 years old,5k-10k Employees (India)
204,Havells,4.2,(2k Reviews),Public,"Noida,Uttar Pradesh + 119 more",39 years old,5k-10k Employees (India)
205,KocharTech,4.5,(1.8k Reviews),Private,"Gurgaon/Gurugram,Haryana + 20 more",27 years old,1k-5k Employees (India)
206,DCB Bank,4.0,(1.8k Reviews),Private,"Mumbai,Maharashtra + 233 more",92 years old,5k-10k Employees (India)
207,Ipca Laboratorie...,4.1,(1.8k Reviews),Public,"Mumbai,Maharashtra + 99 more",73 years old,10k-50k Employees (India)
208,Piramal Capital ...,4.3,(1.8k Reviews),Mumbai + 217 more,4 years old,1k-5k Employees (India),
209,Bajaj Electrical...,4.1,(1.8k Reviews),Public,"Mumbai,Maharashtra + 160 more",84 years old,5k-10k Employees (India)
210,Indian Oil Corpo...,4.4,(2k Reviews),Private,"Delhi/NCR,Delhi + 175 more",63 years old,10k-50k Employees (India)
211,Conduent,3.6,(1.8k Reviews),Private,"Florham Park,New Jersey + 19 more",5 years old,5k-10k Employees (India)
212,24/7 Customer,3.6,(1.8k Reviews),Private,"San Jose,California + 20 more",22 years old,5k-10k Employees (India)
213,Titan Company,4.4,(2.5k Reviews),Public,"Mumbai,Maharashtra + 120 more",4 years old,5k-10k Employees (India)
214,Future Retail,4.2,(4.4k Reviews),Public,"San Francisco,California + 185 more",35 years old,10k-50k Employees (India)
215,Maersk,4.4,(2.2k Reviews),Private,Copenhagen + 21 more,118 years old,10k-50k Employees (India)
216,Hindalco Industr...,4.3,(1.8k Reviews),Public,"Mumbai,Maharashtra + 64 more",64 years old,10k-50k Employees (India)
217,Tata Teleservice...,4.2,(1.7k Reviews),Public,"Mumbai,Maharashtra + 152 more",26 years old,201-500 Employees (India)
218,MRF Tyres,3.7,(1.9k Reviews),Public,"Chennai,Tamil Nadu + 158 more",76 years old,10k-50k Employees (India)
219,CARS24,3.8,(1.7k Reviews),Private,"Gurgaon,Haryana + 133 more",7 years old,5k-10k Employees (India)
220,State Street Syn...,3.8,(1.7k Reviews),Private,Mumbai + 12 more,18 years old,501-1k Employees (India)
221,Huawei Technolog...,3.8,(1.7k Reviews),Private,"Gurgaon/Gurugram,Haryana + 88 more",20 years old,5k-10k Employees (India)
222,Tractors and Far...,4.2,(1.7k Reviews),Public,"Chennai,Tamil Nadu + 131 more",62 years old,5k-10k Employees (India)
223,Jindal Steel and...,4.0,(2k Reviews),Private,"Delhi/NCR,New Delhi + 88 more",70 years old,5k-10k Employees (India)
224,Team Lease,4.0,(1.7k Reviews),Public,"Bangalore/Bengaluru,Karnataka + 186 more",6 years old,1k-5k Employees (India)
